ID,Title,Year,Journal,Access,DOI,Held for,Status
TBD-A1,Big Data-Driven Advancements and Future Directions in Vehicle Perception Technologies: From Autonomous Driving to Modular Buses,2025,IEEE Transactions on Big Data,PAID,https://doi.org/10.1109/tbdata.2025.3527208,General hold (vetted alternate),Verified (Crossref 2026-09-15)
TBD-A2,Digital Twin Data Management: A Comprehensive Review,2025,IEEE Transactions on Big Data,PAID,https://doi.org/10.1109/tbdata.2025.3533891,General hold (vetted alternate),Verified (Crossref 2026-09-15)
TBD-A3,Ensemble Approaches for Dynamic Data Stream Classification Under Label Scarcity,2025,IEEE Transactions on Big Data,PAID,https://doi.org/10.1109/tbdata.2025.3570072,General hold (vetted alternate),Verified (Crossref 2026-09-15)
TBD-A4,A Fast Linearithmic Graph Clustering Approach for Big Data Using Gravitational Attraction Principle,2025,IEEE Transactions on Big Data,PAID,https://doi.org/10.1109/tbdata.2025.3639917,General hold (vetted alternate),Verified (Crossref 2026-09-15)
TBD-A5,SARF: Sparsity-Aware Reconstruction Framework for Large-Scale Datasets,2025,IEEE Transactions on Big Data,OA,https://doi.org/10.1109/tbdata.2025.3639968,Designated swap for any TBD paywalled item (OA),Verified (Crossref 2026-09-15)
TBD-A6,Hierarchical Multi-Relational Graph Representation Learning for Large-Scale Prediction of Drug-Drug Interactions,2025,IEEE Transactions on Big Data,PAID,https://doi.org/10.1109/tbdata.2025.3536924,Research-only backup for TBD,Verified (Crossref 2026-09-15)
BDR-A1,Deep neural network modeling for financial time series analysis,2025,Big Data Research,OA,https://doi.org/10.1016/j.bdr.2025.100553,Swap if BDR-3/BDR-5 access fails (OA),Verified (Crossref 2026-09-15)
BDR-A2,A novel approach for job matching and skill recommendation using transformers and the O*NET database,2025,Big Data Research,OA,https://doi.org/10.1016/j.bdr.2025.100509,Swap if BDR-3/BDR-5 access fails (OA),Verified (Crossref 2026-09-15)
BDR-A3,Scalable QoS-aware cloud service composition for big data workflows: A model-driven MJAYA optimization approach,2026,Big Data Research,PAID,https://doi.org/10.1016/j.bdr.2026.100629,General hold (vetted alternate),Verified (Crossref 2026-09-15)
BDR-A4,ImDMI: Improved Distributed M-Invariance model to achieve privacy continuous big data publishing using Apache Spark,2025,Big Data Research,PAID,https://doi.org/10.1016/j.bdr.2025.100519,General hold (vetted alternate),Verified (Crossref 2026-09-15)
BDR-A5,Hybrid quantum GAN- integrated synthetic data generation with privacy-embedded attention framework for financial forecasting and risk analysis,2026,Big Data Research,PAID,https://doi.org/10.1016/j.bdr.2026.100604,General hold (vetted alternate),Verified (Crossref 2026-09-15)
BDR-A6,Optimization of differential privacy mechanism for big data privacy protection,2026,Big Data Research,PAID,https://doi.org/10.1016/j.bdr.2026.100634,General hold (vetted alternate),Verified (Crossref 2026-09-15)
JoBD-A1,A hybrid deep learning–blockchain framework for reliable fraud detection: a big data–driven approach for real-time FinTech systems,2026,Journal of Big Data,OA,https://doi.org/10.1186/s40537-026-01506-5,General hold (vetted alternate),Verified (Crossref 2026-09-15)
JoBD-A2,Artificial Intelligence-driven privacy preservation in the internet of vehicles: a comprehensive systematic literature review,2026,Journal of Big Data,OA,https://doi.org/10.1186/s40537-025-01360-x,General hold (vetted alternate),Verified (Crossref 2026-09-15)
JoBD-A3,"A systematic literature study of machine learning techniques based intrusion detection: datasets, models, challenges, and future directions",2025,Journal of Big Data,OA,https://doi.org/10.1186/s40537-025-01323-2,General hold (vetted alternate),Verified (Crossref 2026-09-15)
JoBD-A4,BlueEdge: application design for big data cleaning processing using mobile edge computing environments,2025,Journal of Big Data,OA,https://doi.org/10.1186/s40537-025-01262-y,General hold (vetted alternate),Verified (Crossref 2026-09-15)
JoBD-A5,"Data science, big data, and machine learning are coming of age",2025,Journal of Big Data,OA,https://doi.org/10.1186/s40537-025-01172-z,General hold (vetted alternate),Verified (Crossref 2026-09-15)
JoBD-A6,Comprehensive review of artificial intelligence applications in renewable energy systems: current implementations and emerging trends,2025,Journal of Big Data,OA,https://doi.org/10.1186/s40537-025-01178-7,General hold (vetted alternate),Verified (Crossref 2026-09-15)
JoBD-A7,Towards precision in IoT-based healthcare systems: a hybrid optimized framework for big data classification,2025,Journal of Big Data,OA,https://doi.org/10.1186/s40537-025-01243-1,General hold (vetted alternate),Verified (Crossref 2026-09-15)
AIR-A1,"Agentic AI systems in the age of generative models: architectures, cloud scalability, and real-world applications",2026,Artificial Intelligence Review,OA,https://doi.org/10.1007/s10462-025-11458-6,General hold (vetted alternate),Verified (Crossref 2026-09-15)
AIR-A2,Safeguarding large language models: a survey,2025,Artificial Intelligence Review,OA,https://doi.org/10.1007/s10462-025-11389-2,General hold (vetted alternate),Verified (Crossref 2026-09-15)
AIR-A3,Graph neural networks for anomaly detection: a systematic review of dynamic temporal approaches,2026,Artificial Intelligence Review,OA,https://doi.org/10.1007/s10462-026-11532-7,General hold (vetted alternate),Verified (Crossref 2026-09-15)
